
2022/08/25 (18:21:20) | INFO: Logger set to INFO
2022/08/25 (18:21:20) | INFO: Running on /dev/pts/0
2022/08/25 (18:23:03) | INFO: Quitting! Runtime: 00:01:43

2022/08/26 (11:54:22) | ===> btop++ v.1.2.8
2022/08/26 (11:54:22) | INFO: Logger set to INFO
2022/08/26 (11:54:22) | INFO: Running on /dev/pts/3
2022/08/26 (11:54:26) | INFO: Quitting! Runtime: 00:00:04

2022/08/26 (15:56:31) | ===> btop++ v.1.2.8
2022/08/26 (15:56:31) | INFO: Logger set to INFO
2022/08/26 (15:56:31) | INFO: Running on /dev/pts/0
2022/08/26 (15:56:40) | INFO: Quitting! Runtime: 00:00:09

2022/08/26 (15:59:56) | ===> btop++ v.1.2.8
2022/08/26 (15:59:56) | INFO: Logger set to INFO
2022/08/26 (15:59:56) | INFO: Running on /dev/pts/0
2022/08/26 (15:59:58) | INFO: Quitting! Runtime: 00:00:02

2022/08/26 (17:20:53) | ===> btop++ v.1.2.8
2022/08/26 (17:20:53) | INFO: Logger set to INFO
2022/08/26 (17:20:53) | INFO: Running on /dev/pts/0
2022/08/26 (17:33:35) | INFO: Quitting! Runtime: 00:12:42

2022/08/26 (18:37:26) | ===> btop++ v.1.2.8
2022/08/26 (18:37:26) | INFO: Logger set to INFO
2022/08/26 (18:37:26) | INFO: Running on /dev/pts/1
2022/08/26 (18:37:32) | INFO: Quitting! Runtime: 00:00:06

2022/08/26 (19:10:35) | ===> btop++ v.1.2.8
2022/08/26 (19:10:35) | INFO: Logger set to INFO
2022/08/26 (19:10:35) | INFO: Running on /dev/pts/0
2022/08/26 (19:10:39) | INFO: Quitting! Runtime: 00:00:04

2022/08/26 (19:32:23) | ===> btop++ v.1.2.8
2022/08/26 (19:32:23) | INFO: Logger set to INFO
2022/08/26 (19:32:23) | INFO: Running on /dev/tty4
2022/08/26 (19:32:23) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/26 (19:32:42) | INFO: Quitting! Runtime: 00:00:19

2022/08/26 (19:32:49) | ===> btop++ v.1.2.8
2022/08/26 (19:32:49) | INFO: Logger set to INFO
2022/08/26 (19:32:49) | INFO: Running on /dev/tty4
2022/08/26 (19:32:49) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/26 (19:32:59) | INFO: Quitting! Runtime: 00:00:10

2022/08/26 (19:33:25) | ===> btop++ v.1.2.8
2022/08/26 (19:33:25) | INFO: Logger set to INFO
2022/08/26 (19:33:25) | INFO: Running on /dev/tty4
2022/08/26 (19:33:25) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/26 (19:33:32) | INFO: Quitting! Runtime: 00:00:07

2022/08/26 (19:33:46) | ===> btop++ v.1.2.8
2022/08/26 (19:33:46) | INFO: Logger set to INFO
2022/08/26 (19:33:46) | INFO: Running on /dev/tty4
2022/08/26 (19:33:46) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/26 (19:34:24) | INFO: Quitting! Runtime: 00:00:38

2022/08/26 (19:34:34) | ===> btop++ v.1.2.8
2022/08/26 (19:34:34) | INFO: Logger set to INFO
2022/08/26 (19:34:34) | INFO: Running on /dev/pts/0
2022/08/26 (19:34:39) | INFO: Quitting! Runtime: 00:00:05

2022/08/26 (19:34:49) | ===> btop++ v.1.2.8
2022/08/26 (19:34:49) | INFO: Logger set to INFO
2022/08/26 (19:34:49) | INFO: Running on /dev/tty4
2022/08/26 (19:34:49) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/26 (19:34:50) | INFO: Quitting! Runtime: 00:00:01

2022/08/27 (00:43:40) | ===> btop++ v.1.2.8
2022/08/27 (00:43:40) | INFO: Logger set to INFO
2022/08/27 (00:43:40) | INFO: Running on /dev/tty4
2022/08/27 (00:43:40) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/27 (00:43:51) | INFO: Quitting! Runtime: 00:00:11

2022/08/27 (00:43:52) | ===> btop++ v.1.2.8
2022/08/27 (00:43:52) | INFO: Logger set to INFO
2022/08/27 (00:43:52) | INFO: Running on /dev/tty4
2022/08/27 (00:43:52) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/27 (00:44:01) | INFO: Quitting! Runtime: 00:00:09

2022/08/27 (00:44:34) | ===> btop++ v.1.2.8
2022/08/27 (00:44:34) | INFO: Logger set to INFO
2022/08/27 (00:44:34) | INFO: Running on /dev/tty4
2022/08/27 (00:44:34) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/27 (00:44:40) | INFO: Quitting! Runtime: 00:00:06

